Acaryochloris_marina_WP_012161777.1	Acaryochloris_marina
Protoceratium_reticulatum_CCCM_535__=CCMP_1889__CAMPEP_0168391606	Protoceratium_reticulatum_1
Protoceratium_reticulatum_CCCM_535__=CCMP_1889__CAMPEP_0168415306	Protoceratium_reticulatum_2
Prunus_mume_XP_008226663.1	Prunus_mume
Prunus_persica_XP_007212349.1	Prunus_persica
Prymnesium_parvum_Texoma1_CAMPEP_0195577028	Prymnesium_parvum_2
Prymnesium_parvum_Texoma1_CAMPEP_0195613412	Prymnesium_parvum_1
Pseudanabaena_biceps_PCC_7429_WP_009626070.1	Pseudanabaena_biceps
Pseudanabaena_sp._PCC_6802_WP_026103459.1	Pseudanabaena_sp._PCC_6802
Pseudanabaena_sp._PCC_7367_WP_015146290.1	Pseudanabaena_sp._PCC_7367
Pseudo-nitzschia_arenysensis_B593_CAMPEP_0116131242	Pseudo-nitzschia_arenysensis_2
Pseudo-nitzschia_arenysensis_B593_CAMPEP_0116131432	Pseudo-nitzschia_arenysensis_1
Pseudo-nitzschia_delicatissima_B596_CAMPEP_0116091910	Pseudo-nitzschia_australis_1
Pseudo-nitzschia_delicatissima_B596_CAMPEP_0116102942	Pseudo-nitzschia_australis_2
Pseudo-nitzschia_multiseries_jgi_233711	Pseudo-nitzschia_delicatissima_2
Pseudo-nitzschia_multiseries_jgi_248228	Pseudo-nitzschia_delicatissima_1
Pseudo-nitzschia_australis_10249_10_AB_CAMPEP_0168166990	Pseudo-nitzschia_multiseries_1
Pseudo-nitzschia_australis_10249_10_AB_CAMPEP_0168191416	Pseudo-nitzschia_multiseries_2
Pseudopedinella_elastica_CCMP716_CAMPEP_0172586810	Pseudopedinella_elastica_2
Pseudopedinella_elastica_CCMP716_CAMPEP_0172616022	Pseudopedinella_elastica_1
Pycnococcus_provasolii_RCC2336_CAMPEP_0119191390	Pycnococcus_provasolii
Pyramimonas_obovata_CCMP722_CAMPEP_0118928842	Pyramimonas_obovata
Pyramimonas_parkeae_CCMP726_CAMPEP_0114297606	Pyramimonas_parkeae
Pyrus_x_bretschneideri_XP_009378484.1	Pyrus_x_bretschneideri
Raphidiopsis_brookii_D9_EFA72926.1	Raphidiopsis_brookii_D9
Rhizochromulina_cf._marina_CCMP1243_CAMPEP_0118974248	Rhizochromulina_cf._marina
Rhodomonas_abbreviata_Caron_Lab_Isolate_CAMPEP_0181311902	Rhodomonas_abbreviata_1
Rhodomonas_abbreviata_Caron_Lab_Isolate_CAMPEP_0181315520	Rhodomonas_abbreviata_2
Rhodomonas_lens_RHODO_CAMPEP_0177708626	Rhodomonas_lens_2
Rhodomonas_lens_RHODO_CAMPEP_0177715968	Rhodomonas_lens_1
Rhodomonas_salina_CCMP1319_CAMPEP_0172101514	Rhodomonas_salina
Rhodomonas_sp._CCMP768_CAMPEP_0196725642	Rhodomonas_sp._CCMP768
Rhodosorus_marinus_CAMPEP_0113959164	Rhodosorus_marinus
Richelia_intracellularis_WP_044260940.1	Richelia_intracellularis
Ricinus_communis_XP_002517948.1	Ricinus_communis_1
Ricinus_communis_XP_002534245.1	Ricinus_communis_2
Rivularia_sp._PCC_7116_WP_015121490.1	Rivularia_sp._PCC_7116
Rubidibacter_lacunae_KORDI_51-2_WP_022609041.1	Rubidibacter_lacunae
Saccharopolyspora_erythraea_D_WP_009950166	Saccharopolyspora_erythraea
Sandarakinorhabdus_limnophila_DSM_17366_WP_022680993	Sandarakinorhabdus_limnophila
Sarcinochrysis_sp._CCMP770_CAMPEP_0197413596	Sarcinochrysis_sp._CCMP770
Scrippsiella_trochoidea_CCMP3099_CAMPEP_0115245234	Scrippsiella_trochoidea
Scyphosphaera_apsteinii_RCC1455_CAMPEP_0119300480	Scyphosphaera_apsteinii_3
Scyphosphaera_apsteinii_RCC1455_CAMPEP_0119301148	Scyphosphaera_apsteinii_2
Scyphosphaera_apsteinii_RCC1455_CAMPEP_0119326648	Scyphosphaera_apsteinii_1
Scytonema_hofmanni_PCC_7110_WP_017746246.1	Scytonema_hofmanni
Scytonema_millei_VB511283_WP_039713951.1	Scytonema_millei
Scytonema_tolypothrichoides_VB-61278_WP_048869787.1	Scytonema_tolypothrichoides
Selaginella_moellendorffii_XP_002964455.1	Selaginella_moellendorffii
Sesamum_indicum_XP_011085352.1	Sesamum_indicum_1
Sesamum_indicum_XP_011095237.1	Sesamum_indicum_2
Setaria_italica_XP_004960061.1	Setaria_italica
Skeletonema_costatum_1716_CAMPEP_0113379692	Skeletonema_costatum_1
Skeletonema_costatum_1716_CAMPEP_0113408532	Skeletonema_costatum_2
Skeletonema_marinoi_SM1012Hels-07_CAMPEP_0115905912	Skeletonema_marinoi_2
Skeletonema_marinoi_SM1012Hels-07_CAMPEP_0115920738	Skeletonema_marinoi_1
Solanum_lycopersicum_AAF82475.1	Solanum_lycopersicum
Solanum_tuberosum_XP_006357495.1	Solanum_tuberosum_1
Solanum_tuberosum_XP_006362949.1	Solanum_tuberosum_2
Sorghum_bicolor_XP_002447328.1	Sorghum_bicolor_2
Sorghum_bicolor_XP_002467010.1	Sorghum_bicolor_1
Spirulina_subsalsa_WP_017302851.1	Spirulina_subsalsa
Stanieria_cyanosphaera_WP_015194911.1	Stanieria_cyanosphaera
Stauroneis_constricta_CCMP1120_CAMPEP_0119546770	Stauroneis_constricta
Striatella_unipunctata_CCMP2910_CAMPEP_0118691528	Striatella_unipunctata_1
Striatella_unipunctata_CCMP2910_CAMPEP_0118698608	Striatella_unipunctata_2
Sulfitobacter_guttiformis_KCTC_32187_WP_025063112	Sulfitobacter_guttiformis
Symbiodinium_sp._Mp_CAMPEP_0169653028	Symbiodinium_sp._Mp_2
Symbiodinium_sp._Mp_CAMPEP_0169657040	Symbiodinium_sp._Mp_3
Symbiodinium_sp._Mp_CAMPEP_0169790016	Symbiodinium_sp._Mp_1
Synechococcus_sp._CC9311_WP_011619093	Synechococcus_sp._CC9311
Synechococcus_elongatus_WP_011243913.1	Synechococcus_elongatus_PCC_6301
Synechococcus_elongatus_PCC_7942_AAL03934	Synechococcus_elongatus_PCC_7942
Synechococcus_sp._CC9902_WP_011360007	Synechococcus_sp._CC9902
Synechococcus_sp._WH_7803_WP_011932776	Synechococcus_sp._WH_7803
Synechococcus_sp._WH_8102_WP_011127994	Synechococcus_sp._WH_8102
uncultured_marine_type-A_Synechococcus_4O4_ABB92191.1	uncultured_marine_type-A_Synechococcus_4O4
uncultured_marine_type-A_Synechococcus_5B2_ABB92237.1	uncultured_marine_type-A_Synechococcus_5B2
Synechocystis_sp._PCC_6803_AAA68281	Synechocystis_sp._PCC_6803
Synechocystis_sp._PCC_7509_WP_009631725.1	Synechocystis_sp._PCC_7509
Synedropsis_cf._recta_CCMP1620_CAMPEP_0119005626	Synedropsis_cf._recta_1
Synedropsis_cf._recta_CCMP1620_CAMPEP_0119006338	Synedropsis_cf._recta_2
Tarenaya_hassleriana_XP_010520908.1	Tarenaya_hassleriana_2
Tarenaya_hassleriana_XP_010522628.1	Tarenaya_hassleriana_1
Tetraselmis_astigmatica_CCMP880_CAMPEP_0117670086	Tetraselmis_astigmatica
Thalassiosira_pseudonana_CCMP1335_XP_002286918.1	Thalassiosira_pseudonana_2
Thalassiosira_pseudonana_CCMP1335_XP_002290537.1	Thalassiosira_pseudonana_1
Theobroma_cacao_XP_007021342.1	Theobroma_cacao_2
Theobroma_cacao_XP_007043552.1	Theobroma_cacao_1
Thermosynechococcus_elongatus_BP1_NP681365	Thermosynechococcus_elongatus_BP-1
Thermosynechococcus_sp._NK55a_WP_041429327.1	Thermosynechococcus_sp._NK55a
Tolypothrix_bouteillei_VB521301_KIE06771.1	Tolypothrix_bouteillei_VB521301
Tolypothrix_campylonemoides_VB511288_WP_041035651.1	Tolypothrix_campylonemoides
Tribonema_sp._UWCC-FW-135_AJA04990.1	Tribonema_sp._UWCC-FW-135
Trichodesmium_erythraeum_WP_011610007.1	Trichodesmium_erythraeum
Trichormus_azollae_WP_013189836.1	Trichormus_azollae
Triticum_aestivum-PORA_Q41578	Triticum_aestivum-PORA
Triticum_urartu_EMS55960.1	Triticum_urartu
Unidentified_sp._RCC1024_CAMPEP_0119262048	Unidentified_sp._RCC1024_2
Unidentified_sp._RCC1024_CAMPEP_0119272624	Unidentified_sp._RCC1024_1
Unidentified_sp._RCC2339_CAMPEP_0119131272	Unidentified_sp._RCC2339
Unidentified_sp._CCMP2000_CAMPEP_0119056670	Unidentified_sp._CCMP2000_2
Unidentified_sp._CCMP2000_CAMPEP_0119060368	Unidentified_sp._CCMP2000_3
Unidentified_sp._CCMP2000_CAMPEP_0119099648	Unidentified_sp._CCMP2000_1
Vigna_radiata_AAF89208	Vigna_radiata
Vitis_vinifera_XP_002264042.1	Vitis_vinifera_1
Vitis_vinifera_XP_002284769.2	Vitis_vinifera_2
Volvox_carteri_f._nagariensis_EFJ48479.1	Volvox_carteri_f._nagariensis
Xenococcus_sp._PCC_7305_WP_006508781.1	Xenococcus_sp._PCC_7305
Zea_mays_NP_001167680.1	Zea_mays-PORB
Zea_mays_NP_001167683.1	Zea_mays-PORA
